순위,섹터,종목코드,종목명,시가총액(단위:백만원),자산총액(단위:백만원),시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장주식수,PBR,PBR 산출시점,최근 5개 사업연도 평균 PBR,`23 사업연도말 PBR,`22 사업연도말 PBR,`21 사업연도말 PBR,`20 사업연도말 PBR,`19 사업연도말 PBR,PER,PER 산출시점,최근 5개 사업연도 평균 PER,`23 사업연도말 PER,`22 사업연도말 PER,`21 사업연도말 PER,`20 사업연도말 PER,`19 사업연도말 PER,ROE,ROE 산출시점,최근 5개 사업연도 평균 ROE,`23 사업연도말 ROE,`22 사업연도말 ROE,`21 사업연도말 ROE,`20 사업연도말 ROE,`19 사업연도말 ROE,배당성향,배당성향 산출시점,최근 5개 사업연도 평균 배당성향,`23 사업연도말 배당성향,`22 사업연도말 배당성향,`21 사업연도말 배당성향,`20 사업연도말 배당성향,`19 사업연도말 배당성향,배당수익률,배당수익률 산출시점,최근 5개 사업연도 평균 배당수익률,`23 사업연도말 배당수익률,`22 사업연도말 배당수익률,`21 사업연도말 배당수익률,`20 사업연도말 배당수익률,`19 사업연도말 배당수익률,비고
1272,금융/부동산,000810,삼성화재,16699630,85838631,KOSPI,-,344500,-8000,-2.27,355000,356000,344500,111936,38961293000,47374837,0.6,2024-06,1.01,0.77,0.7,1.16,1.64,0.77,16.06,45444,17.94,10.36,12.57,22.58,19.03,25.17,3.69,45444,6.11,7.45,5.73,5.27,9.04,3.06,18.18,45261,24.86,18.18,24.44,27.88,17.43,36.34,1.75,45261,1.46,1.75,1.94,1.23,0.92,1.44,-
1913,금융/부동산,001450,현대해상,2717760,45377226,KOSPI,-,33000,-650,-1.93,33900,33900,33000,326047,10864806625,89400000,1.16,2024-06,2.23,1.74,1.69,2.34,2.98,2.41,-,45444,-,-,-,-,-,-,-,45444,-,-,-,-,-,-,-,45261,-,-,-,-,-,-,0,45261,0,0,0,0,0,0,-
1615,금융/부동산,005830,DB손해보험,7752600,61877372,KOSPI,-,112300,-2300,-2.01,117600,118000,112300,174654,19858580300,70800000,0.26,2024-06,0.38,0.3,0.36,0.46,0.43,0.33,70.57,45444,-,-,60.96,15.76,24.85,5.69,0.37,45444,-,-,0.59,2.98,1.76,6.02,-,45261,-,-,70.54,14.05,24.96,7.57,1.41,45261,1.17,1.41,1.16,0.91,1.01,1.35,-
2127,금융/부동산,006800,미래에셋증권,5387613,139858751,KOSPI,-,8420,-250,-2.88,8700,8740,8420,719833,6111668770,595316408,0.26,2024-06,0.35,0.27,0.3,0.43,0.38,0.37,2.75,45444,6.96,2.98,7.19,3.07,5.41,16.13,9.6,45444,7.36,9.11,4.01,14.53,6.96,2.18,15.72,45261,26.19,15.72,38.17,9.82,17.04,50.19,5.07,45261,3.85,5.07,5.09,3.05,3.02,2.99,-
2200,금융/부동산,032190,다우데이타,426279,53585861,KOSDAQ,우량기업부,11720,-50,-0.42,11880,11890,11510,61404,722937500,38300000,1.34,2024-06,1.79,1.43,1.54,1.93,2.07,1.96,16.7,45444,-,43.33,20.16,28.85,25.22,-,7.89,45444,-,3.16,7.72,6.62,8.23,-,186.13,45261,-,186.13,76.26,77.9,60.43,-,4.22,45261,3.07,4.22,3.72,2.65,2.35,2.41,-
1718,금융/부동산,039490,키움증권,3517580,51596411,KOSPI,-,130000,-6200,-4.55,137000,137600,130000,82312,10817656400,25526706,2.96,2024-06,2.27,2.51,2.07,2.22,2.71,1.82,39.82,45444,44.14,37.33,42.61,41.25,25.46,74.04,7.48,45444,6.11,6.74,4.86,5.45,11.06,2.43,23.62,45261,30.02,23.62,28.66,25.42,12.94,59.44,0.62,45261,0.64,0.62,0.67,0.61,0.51,0.8,-
2018,금융/부동산,055550,신한지주,28780717,727679883,KOSPI,-,55500,-700,-1.25,56600,56800,55300,1399941,78107261916,509393214,0.54,2024-06,0.77,0.7,0.52,0.7,0.99,0.94,8.32,45444,32.64,11.29,10.29,45.91,24.86,70.84,6.36,45444,3.65,6.27,5.09,1.59,3.89,1.41,4.44,45261,1.99,4.44,5.49,0,0,0,0.39,45261,0.19,0.39,0.53,0,0,0,-
2006,금융/부동산,071050,한국금융지주,4318764,100102934,KOSPI,-,73400,-1800,-2.39,76300,76400,73400,126367,9381705200,55725992,0.36,2024-06,0.52,0.36,0.38,0.52,0.67,0.66,6.96,45444,-,207.73,6.89,7.99,4.99,-,5.12,45444,-,0.17,5.62,6.48,13.89,-,1341.73,45261,-,1341.73,36.32,30.19,13.59,-,6.31,45261,4.09,6.31,5.14,3.69,2.66,2.65,-
853,금융/부동산,138040,메리츠금융지주,20216332,104854282,KOSPI,-,97100,-500,-0.51,98900,99000,96300,308039,29960016900,190720114,2.32,2024-06,0.85,1.03,0.83,1.01,0.56,0.84,-,45444,-,-,-,7.83,-,2.7,-,45444,-,-,-,10.91,-,21.93,-,45261,-,-,-,17.54,-,26.35,2.13,45261,3.49,2.13,2.41,1.69,3.82,7.4,-
2224,금융/부동산,316140,우리금융지주,12185927,508781165,KOSPI,-,15500,-360,-2.27,16010,16050,15440,2488477,38850354350,742591501,0.22,2024-06,0.24,0.22,0.2,0.29,0.27,0.2,-,45444,-,-,-,26.01,28.61,-,-,45444,-,-,-,1.14,0.96,-,-,45261,-,-,-,0,0,-,0,45261,0,0,0,0,0,0,-
